2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IDispatch) ptr=0x292153200f0 at 2921d85d350>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ISpeechObjectToken) ptr=0x292153208d0 at 2921dd518d0>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IEnumVARIANT) ptr=0x29215317dd0 at 2921d85ded0>
2026-05-11 20:44:22 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ISpeechObjectToken) ptr=0x292153200f0 at 2921dd519d0>
2026-05-11 20:44:22 | DEBUG    | voice.text_to_speech           | Available voice: Microsoft David Desktop - English (United States) (HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech\Voices\Tokens\TTS_MS_EN-US_DAVID_11.0)
2026-05-11 20:44:22 | DEBUG    | voice.text_to_speech           | Available voice: Microsoft Zira Desktop - English (United States) (HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Speech\Voices\Tokens\TTS_MS_EN-US_ZIRA_11.0)
2026-05-11 20:44:22 | INFO     | voice.text_to_speech           | TTS voice selected: Microsoft David Desktop - English (United States)
2026-05-11 20:44:22 | INFO     | voice.text_to_speech           | TextToSpeech initialized (pyttsx3)
2026-05-11 20:44:26 | INFO     | voice.speech_to_text           | Loading Whisper model 'base.en'... (first run downloads the model)
2026-05-11 20:44:27 | INFO     | voice.speech_to_text           | Whisper model loaded in 0.7s
2026-05-11 20:44:27 | INFO     | voice.audio_manager            | Audio available: 11 input device(s)
2026-05-11 20:44:27 | DEBUG    | voice.audio_manager            | Default input: Microphone (Realtek(R) Audio)
2026-05-11 20:44:27 | DEBUG    | comtypes.client._managing      | wrap_outparam(<POINTER(ISpeechObjectTokens) ptr=0x29215321390 at 29216131b50>)
2026-05-11 20:44:27 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(IUnknown) ptr=0x29215317950 at 292292d8f50>
2026-05-11 20:44:27 | DEBUG    | comtypes._post_coinit.unknwn   | Release <POINTER(ISpeechObjectTokens) ptr=0x29215321390 at 29216131b50>
2026-05-11 20:44:27 | DEBUG    | comtypes.client._managing      | wrap_outparam(<POINTER(IDispatch) ptr=0x292153200f0 at 292292d8f50>)
2026-05-11 20:44:27 | DEBUG    | comtypes.client._managing      | GetBestInterface(<POINTER(IDispatch) ptr=0x292153200f0 at 292292d8f50>)
2026-05-11 20:44:27 | DEBUG    | comtypes.client._managing      | Does NOT implement IProvideClassInfo, trying IProvideClassInfo2
2026-05-11 20:44:27 | DEBUG    | comtypes.client._managing      | Does NOT implement IProvideClassInfo/IProvideClassInfo2
